epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.56155,1.97937,3.75631,1.68763,0.00163,0.44444,0.05035,0.0168,1.99839,3.77231,1.99517,0.0011,0.0011,0.0901
2,11.8248,1.72246,2.08196,1.48818,0.001,0.17111,0.00067,0.0002,3.75676,inf,83.8928,0.00227723,0.00227723,0.0792772
3,16.5894,1.80999,2.07821,1.54684,0,0,0,0,nan,nan,nan,0.0034307,0.0034307,0.0684307
4,21.483,1.82818,1.96995,1.61312,0,0,0,0,nan,nan,nan,0.00456041,0.00456041,0.0575604
5,25.749,1.91043,2.01083,1.62325,0.0002,0.05556,0.00014,2e-05,3.66701,inf,20.912,0.00566636,0.00566636,0.0466664
6,29.9249,1.74706,1.833,1.54375,0.00012,0.03333,7e-05,1e-05,3.90653,inf,23.5089,0.00674855,0.00674855,0.0357486
7,34.0767,1.79491,1.81979,1.56652,0.00025,0.06667,0.00015,4e-05,3.95959,inf,31.6475,0.00780698,0.00780698,0.024807
8,38.1986,1.70833,1.73794,1.52651,0,0,0,0,4.53366,inf,25.8123,0.00884165,0.00884165,0.0138416
9,42.3606,1.78398,1.70126,1.53491,0,0,0,0,4.78081,inf,28.0226,0.009208,0.009208,0.009208
10,46.417,1.74489,1.68678,1.56788,0.5003,0.02222,8e-05,1e-05,4.23943,inf,10.1192,0.009109,0.009109,0.009109
11,50.4924,1.70768,1.68799,1.59512,0,0,0,0,3.85046,inf,16.7453,0.00901,0.00901,0.00901
12,54.5569,1.72907,1.64567,1.5136,0.4088,0.25111,0.04397,0.01789,2.48868,122.162,2.26216,0.008911,0.008911,0.008911
13,58.6844,1.65996,1.53233,1.47072,0.50567,0.32222,0.00664,0.00259,2.43184,67.3008,2.38144,0.008812,0.008812,0.008812
14,62.7193,1.65038,1.51119,1.4642,0.37575,0.28667,0.23347,0.11581,2.00348,4.99516,1.94981,0.008713,0.008713,0.008713
15,66.8372,1.6634,1.52,1.48376,0.4766,0.16444,0.14469,0.0729,2.01157,4.15012,1.91858,0.008614,0.008614,0.008614
16,70.8833,1.63859,1.48425,1.47268,0.77179,0.18889,0.22504,0.10727,1.9722,4.37518,1.94,0.008515,0.008515,0.008515
17,74.9676,1.63789,1.46872,1.47324,0.28123,0.25556,0.27513,0.1303,1.85132,3.76615,1.78104,0.008416,0.008416,0.008416
18,79.0857,1.63412,1.44536,1.44906,0.71732,0.23333,0.20963,0.10331,1.95784,6.7174,1.88883,0.008317,0.008317,0.008317
19,83.121,1.62257,1.44517,1.47361,0.19826,0.20736,0.14452,0.07055,2.0332,6.86199,1.94311,0.008218,0.008218,0.008218
20,87.2302,1.59043,1.45592,1.41897,0.72675,0.19369,0.22419,0.12889,1.87825,2.49845,1.81404,0.008119,0.008119,0.008119
21,91.3147,1.58303,1.37686,1.41117,0.67762,0.46667,0.47422,0.24374,1.83424,1.72095,1.70228,0.00802,0.00802,0.00802
22,95.3928,1.64378,1.41857,1.46243,0.42969,0.39778,0.36834,0.17291,1.7383,2.814,1.6796,0.007921,0.007921,0.007921
23,99.4808,1.57634,1.42951,1.44487,0.58244,0.46206,0.4561,0.23404,1.83676,1.68196,1.73135,0.007822,0.007822,0.007822
24,103.53,1.57786,1.38304,1.4294,0.41968,0.52783,0.48437,0.25517,1.67621,1.71142,1.60334,0.007723,0.007723,0.007723
25,107.605,1.5706,1.34757,1.41996,0.48376,0.48667,0.48849,0.26621,1.65395,1.55717,1.58156,0.007624,0.007624,0.007624
26,111.727,1.6013,1.41149,1.40857,0.33452,0.51333,0.42166,0.22961,1.71646,1.85115,1.66157,0.007525,0.007525,0.007525
27,115.801,1.57451,1.34004,1.4566,0.48342,0.41556,0.4721,0.24977,1.7107,1.8653,1.62132,0.007426,0.007426,0.007426
28,119.894,1.53614,1.26129,1.41385,0.8675,0.31111,0.40243,0.21232,1.77489,2.39213,1.65371,0.007327,0.007327,0.007327
29,123.94,1.50651,1.2625,1.36757,0.43076,0.57324,0.48644,0.26702,1.6819,1.45179,1.57545,0.007228,0.007228,0.007228
30,128.076,1.50906,1.20255,1.36254,0.52498,0.58518,0.50533,0.28658,1.5796,1.67116,1.57185,0.007129,0.007129,0.007129
31,132.173,1.53878,1.22561,1.40709,0.75113,0.43111,0.52851,0.31971,1.4898,1.57691,1.50716,0.00703,0.00703,0.00703
32,136.251,1.52585,1.24427,1.3802,0.79572,0.39824,0.50883,0.29067,1.59508,1.53578,1.52267,0.006931,0.006931,0.006931
33,140.375,1.48282,1.20243,1.35164,0.69749,0.49993,0.55304,0.33764,1.50435,1.36416,1.47808,0.006832,0.006832,0.006832
34,144.523,1.45045,1.19829,1.33393,0.52267,0.66444,0.57096,0.28969,1.77181,1.24721,1.62994,0.006733,0.006733,0.006733
35,148.623,1.49152,1.17122,1.36335,0.49213,0.51993,0.53983,0.27821,1.78759,1.44983,1.68769,0.006634,0.006634,0.006634
36,152.681,1.46935,1.18539,1.33467,0.53525,0.56097,0.50053,0.25512,1.7189,1.34213,1.66647,0.006535,0.006535,0.006535
37,156.786,1.45838,1.19907,1.34416,0.79663,0.47778,0.58369,0.3318,1.65847,1.33155,1.58192,0.006436,0.006436,0.006436
38,160.827,1.44528,1.12612,1.3188,0.55888,0.54222,0.5516,0.32286,1.5978,1.27668,1.53574,0.006337,0.006337,0.006337
39,164.883,1.43986,1.11532,1.32626,0.62277,0.50222,0.51041,0.28391,1.65293,1.64709,1.6077,0.006238,0.006238,0.006238
40,169.01,1.4852,1.17096,1.35304,0.46602,0.62633,0.50395,0.28608,1.58448,1.37356,1.56854,0.006139,0.006139,0.006139
41,173.117,1.44885,1.1725,1.33152,0.37679,0.53333,0.48377,0.28446,1.53035,1.46308,1.52759,0.00604,0.00604,0.00604
42,177.23,1.49107,1.17549,1.37016,0.50702,0.55271,0.49698,0.25796,1.64159,1.65848,1.59878,0.005941,0.005941,0.005941
43,181.27,1.44535,1.11156,1.33359,0.47492,0.56222,0.51342,0.27068,1.60075,1.61537,1.56329,0.005842,0.005842,0.005842
44,185.339,1.38803,1.03063,1.3139,0.56128,0.4686,0.53467,0.29041,1.56367,1.42864,1.54277,0.005743,0.005743,0.005743
45,189.429,1.40892,1.04802,1.31216,0.51275,0.52,0.51738,0.31962,1.45966,1.35017,1.44325,0.005644,0.005644,0.005644
46,193.474,1.39954,1.04716,1.31183,0.45846,0.67192,0.57027,0.35889,1.41126,1.14025,1.41054,0.005545,0.005545,0.005545
47,197.564,1.37845,1.00817,1.29114,0.48168,0.54444,0.55095,0.31805,1.5152,1.3724,1.54184,0.005446,0.005446,0.005446
48,201.657,1.4024,1.0641,1.31587,0.56584,0.53778,0.5509,0.28766,1.6555,1.30551,1.64959,0.005347,0.005347,0.005347
49,205.684,1.35691,1.03199,1.30046,0.58009,0.54444,0.59168,0.35619,1.5316,1.21886,1.49829,0.005248,0.005248,0.005248
50,209.741,1.47238,1.07698,1.35238,0.54765,0.54,0.54032,0.28395,1.66944,1.2373,1.65192,0.005149,0.005149,0.005149
51,213.791,1.36599,0.98553,1.27401,0.63426,0.59111,0.59036,0.31164,1.61949,1.33592,1.54886,0.00505,0.00505,0.00505
52,217.873,1.34636,0.99723,1.26394,0.62575,0.63448,0.65028,0.39442,1.49204,1.24329,1.47657,0.004951,0.004951,0.004951
53,221.945,1.37191,1.03766,1.29539,0.56568,0.59178,0.57638,0.33104,1.54527,1.22194,1.49915,0.004852,0.004852,0.004852
54,226.001,1.40992,1.0276,1.29489,0.59284,0.62,0.63131,0.36419,1.55826,1.11308,1.52063,0.004753,0.004753,0.004753
55,230.034,1.3255,0.98463,1.26272,0.50203,0.67333,0.61123,0.346,1.54953,1.13756,1.48418,0.004654,0.004654,0.004654
56,234.058,1.30479,1.01545,1.25827,0.60764,0.69111,0.61901,0.34287,1.56302,1.20649,1.48376,0.004555,0.004555,0.004555
57,238.075,1.32589,0.93209,1.2432,0.5288,0.65687,0.58851,0.34261,1.49157,1.1977,1.47743,0.004456,0.004456,0.004456
58,242.139,1.34637,0.97365,1.26689,0.66192,0.52,0.61556,0.32796,1.58798,1.17234,1.54382,0.004357,0.004357,0.004357
59,246.165,1.29423,0.9443,1.23983,0.53618,0.66444,0.61636,0.36962,1.48315,1.19602,1.44632,0.004258,0.004258,0.004258
60,250.165,1.32322,0.93299,1.26684,0.49466,0.67556,0.59971,0.37698,1.45945,1.22439,1.46693,0.004159,0.004159,0.004159
61,254.209,1.29138,0.94246,1.24765,0.56451,0.62444,0.58747,0.34944,1.51161,1.21273,1.49312,0.00406,0.00406,0.00406
62,258.209,1.32644,0.90844,1.25238,0.56319,0.56976,0.57727,0.34276,1.55754,1.25813,1.47546,0.003961,0.003961,0.003961
63,262.277,1.29211,0.89377,1.24472,0.60161,0.52222,0.56461,0.31002,1.66738,1.2655,1.62947,0.003862,0.003862,0.003862
64,266.341,1.28367,0.90695,1.24325,0.54743,0.50495,0.5841,0.31477,1.6188,1.26019,1.55939,0.003763,0.003763,0.003763
65,270.378,1.31783,0.90394,1.23925,0.51264,0.69556,0.56834,0.30938,1.62167,1.27033,1.58119,0.003664,0.003664,0.003664
66,274.378,1.28392,0.89352,1.21679,0.66706,0.67534,0.58796,0.31386,1.66072,1.1639,1.58497,0.003565,0.003565,0.003565
67,278.379,1.27667,0.89726,1.23504,0.53241,0.61861,0.53797,0.31451,1.48128,1.29235,1.4897,0.003466,0.003466,0.003466
68,282.399,1.25173,0.8861,1.23048,0.66372,0.61333,0.65104,0.39744,1.5042,1.0715,1.49028,0.003367,0.003367,0.003367
69,286.46,1.24412,0.90542,1.20615,0.62261,0.68659,0.65321,0.37583,1.57428,1.22292,1.51976,0.003268,0.003268,0.003268
70,290.546,1.20799,0.83798,1.18936,0.69912,0.57333,0.6562,0.40152,1.48621,1.09213,1.45661,0.003169,0.003169,0.003169
71,294.592,1.22694,0.83154,1.19477,0.60752,0.67114,0.64717,0.40554,1.47638,1.05671,1.44397,0.00307,0.00307,0.00307
72,298.719,1.21201,0.86523,1.19434,0.62895,0.67418,0.6634,0.39505,1.51832,1.09351,1.46947,0.002971,0.002971,0.002971
73,302.771,1.21983,0.85486,1.20069,0.63576,0.66667,0.62079,0.37682,1.48478,1.13192,1.45331,0.002872,0.002872,0.002872
74,306.823,1.20034,0.8399,1.19373,0.67421,0.60222,0.63308,0.38799,1.50411,1.03387,1.4663,0.002773,0.002773,0.002773
75,310.869,1.21116,0.82145,1.19216,0.64379,0.65989,0.65085,0.37461,1.59033,1.01588,1.52002,0.002674,0.002674,0.002674
76,314.897,1.19766,0.81273,1.18271,0.67742,0.64029,0.69077,0.42185,1.38058,0.94604,1.42706,0.002575,0.002575,0.002575
77,318.98,1.19061,0.81402,1.1762,0.65486,0.71264,0.69993,0.42108,1.41167,0.96482,1.42298,0.002476,0.002476,0.002476
