epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.63069,1.72339,3.6772,1.5389,0.0016,0.34091,0.00169,0.00067,2.38417,3.75858,2.12886,0.0012,0.0012,0.0892
2,13.0534,1.88397,1.98824,1.57511,0.0003,0.09091,0.00017,5e-05,3.08915,inf,15.0014,0.00247525,0.00247525,0.0774752
3,17.5627,1.85425,1.63676,1.65511,0.0003,0.09091,0.00021,5e-05,nan,nan,nan,0.00372476,0.00372476,0.0657248
4,22.0821,1.88621,1.6919,1.68844,0,0,0,0,nan,nan,nan,0.00494853,0.00494853,0.0539485
5,26.5462,1.75905,1.50599,1.56085,0,0,0,0,3.58154,inf,27.712,0.00614656,0.00614656,0.0421466
6,30.9966,1.80676,1.53267,1.62215,0,0,0,0,3.24341,inf,46.3993,0.00731885,0.00731885,0.0303188
7,35.3736,1.80962,1.47591,1.58214,0,0,0,0,3.71465,inf,43.721,0.0084654,0.0084654,0.0184654
8,39.7765,1.70877,1.43091,1.62389,0,0,0,0,6.12213,inf,12.8138,0.009307,0.009307,0.009307
9,44.1247,1.71315,1.39786,1.57174,0,0,0,0,3.97726,inf,7.92463,0.009208,0.009208,0.009208
10,48.5323,1.78159,1.4062,1.60519,0.00068,0.02273,0.00031,0.00012,3.53732,inf,13.5357,0.009109,0.009109,0.009109
11,52.8306,1.72517,1.36188,1.56149,0.00698,0.11364,0.00289,0.00102,3.15516,8.37232,4.00115,0.00901,0.00901,0.00901
12,57.1625,1.68233,1.34275,1.50858,0.53339,0.45455,0.45428,0.2291,1.98586,16.2001,2.03846,0.008911,0.008911,0.008911
13,61.5017,1.68451,1.31538,1.52239,0.45715,0.53602,0.45648,0.20188,1.9038,5.13379,1.88603,0.008812,0.008812,0.008812
14,65.8102,1.6588,1.25103,1.51688,0.80551,0.47727,0.56397,0.29808,1.83391,5.22168,1.81791,0.008713,0.008713,0.008713
15,70.1424,1.63894,1.26074,1.47733,0.70812,0.60666,0.64494,0.34428,1.71982,3.222,1.66899,0.008614,0.008614,0.008614
16,74.499,1.58501,1.21274,1.42595,0.80372,0.68182,0.7633,0.39073,1.66848,1.41341,1.62651,0.008515,0.008515,0.008515
17,78.8681,1.51766,1.06476,1.38559,0.74774,0.80854,0.80654,0.45789,1.45683,2.56406,1.51528,0.008416,0.008416,0.008416
18,83.2271,1.56936,1.15119,1.42824,0.91356,0.72077,0.85079,0.4593,1.46367,1.55308,1.46754,0.008317,0.008317,0.008317
19,87.5504,1.56624,1.10694,1.48465,0.79055,0.70455,0.77901,0.3989,1.55236,1.28319,1.52973,0.008218,0.008218,0.008218
20,91.8459,1.57776,1.1279,1.45058,0.75457,0.72727,0.82143,0.44065,1.60049,1.34833,1.57302,0.008119,0.008119,0.008119
21,96.1378,1.50637,1.10905,1.44165,0.73855,0.52273,0.53942,0.27709,1.89508,4.19014,1.84112,0.00802,0.00802,0.00802
22,100.496,1.50268,1.08306,1.36717,0.80378,0.65184,0.76687,0.26872,2.08654,2.34633,1.81792,0.007921,0.007921,0.007921
23,104.768,1.53804,1.07843,1.40652,0.76466,0.54545,0.68051,0.32586,1.64804,1.97379,1.67486,0.007822,0.007822,0.007822
24,109.108,1.49506,1.06716,1.41311,0.87668,0.80796,0.86003,0.49411,1.49149,1.23493,1.49512,0.007723,0.007723,0.007723
25,113.429,1.52765,1.07581,1.41054,0.85714,0.86364,0.84418,0.46048,1.50622,1.1252,1.47596,0.007624,0.007624,0.007624
26,117.734,1.49966,1.06832,1.40591,0.80351,0.8365,0.87198,0.46457,1.69531,1.1258,1.56357,0.007525,0.007525,0.007525
27,121.985,1.48562,0.99931,1.36415,0.87808,0.70455,0.76453,0.4491,1.54428,1.90233,1.49345,0.007426,0.007426,0.007426
28,126.3,1.55709,1.08127,1.46421,0.69585,0.63636,0.68731,0.35789,1.79445,1.57607,1.60276,0.007327,0.007327,0.007327
29,130.613,1.43632,0.99934,1.38288,0.966,0.64585,0.8133,0.44304,1.52954,1.35529,1.50096,0.007228,0.007228,0.007228
30,134.898,1.47553,1.03923,1.35605,0.90299,0.68182,0.83445,0.42997,1.60692,1.22215,1.58456,0.007129,0.007129,0.007129
31,139.172,1.44744,1.00339,1.39082,0.79153,0.7767,0.83971,0.4487,1.46389,1.04192,1.46232,0.00703,0.00703,0.00703
32,143.477,1.43263,0.97749,1.38661,0.81204,0.84091,0.8613,0.50551,1.41859,1.52444,1.39893,0.006931,0.006931,0.006931
33,147.748,1.48298,0.99583,1.39016,0.85548,0.86364,0.84662,0.5028,1.41947,1.28105,1.38246,0.006832,0.006832,0.006832
34,152.036,1.46948,0.95794,1.37831,0.7213,0.82356,0.86572,0.51429,1.46664,1.14049,1.45856,0.006733,0.006733,0.006733
35,156.352,1.44626,0.96304,1.36644,0.92452,0.83524,0.93403,0.5196,1.51962,0.82997,1.54943,0.006634,0.006634,0.006634
36,160.706,1.42218,0.87573,1.32888,0.80873,0.84091,0.84679,0.48294,1.52651,1.07364,1.50945,0.006535,0.006535,0.006535
37,164.978,1.46012,0.98359,1.33881,0.89235,0.81818,0.9164,0.51038,1.40636,1.07662,1.37619,0.006436,0.006436,0.006436
38,169.309,1.45344,0.91464,1.35852,0.51861,0.58769,0.54409,0.23047,1.96059,1.64271,1.90396,0.006337,0.006337,0.006337
39,173.583,1.41877,0.92467,1.37604,0.66727,0.47727,0.49518,0.22806,1.95675,2.30422,1.8181,0.006238,0.006238,0.006238
40,177.965,1.37362,0.91278,1.30406,0.78974,0.75,0.85997,0.48821,1.42366,1.02911,1.44776,0.006139,0.006139,0.006139
41,182.207,1.40585,0.92039,1.34261,0.92927,0.79545,0.91453,0.51892,1.42094,1.07077,1.37912,0.00604,0.00604,0.00604
42,186.534,1.38104,0.88263,1.30134,0.8993,0.72727,0.88581,0.48481,1.49684,1.00677,1.43274,0.005941,0.005941,0.005941
43,190.789,1.37853,0.88704,1.30899,0.8906,0.79545,0.84667,0.50082,1.42127,1.01145,1.41652,0.005842,0.005842,0.005842
44,195.1,1.38685,0.85488,1.3172,0.87331,0.84091,0.86572,0.50536,1.44481,1.03265,1.48563,0.005743,0.005743,0.005743
45,199.329,1.39137,0.88059,1.29202,0.85227,0.91791,0.91309,0.49696,1.51446,0.86576,1.51211,0.005644,0.005644,0.005644
46,203.656,1.38823,0.87662,1.33007,0.86632,0.88636,0.93009,0.58458,1.34486,0.86514,1.38965,0.005545,0.005545,0.005545
47,207.933,1.34478,0.87939,1.2826,0.87221,0.77568,0.88705,0.52821,1.4532,0.97322,1.3959,0.005446,0.005446,0.005446
48,212.165,1.31923,0.86232,1.26422,0.94551,0.78892,0.89358,0.51738,1.418,0.9169,1.39297,0.005347,0.005347,0.005347
49,216.419,1.33517,0.848,1.2838,0.89352,0.86364,0.90903,0.58846,1.29063,0.74091,1.33786,0.005248,0.005248,0.005248
50,220.717,1.3633,0.91726,1.31754,0.87851,0.86364,0.90875,0.58452,1.29043,0.81515,1.39834,0.005149,0.005149,0.005149
51,225.019,1.29517,0.82908,1.24817,0.85548,0.88636,0.90152,0.53962,1.39002,0.79474,1.42836,0.00505,0.00505,0.00505
52,229.333,1.34623,0.8443,1.29634,0.91715,0.84091,0.90784,0.52572,1.40806,0.87209,1.44205,0.004951,0.004951,0.004951
53,233.613,1.33428,0.85387,1.27846,0.79214,0.77273,0.834,0.45746,1.46514,0.88228,1.40589,0.004852,0.004852,0.004852
54,237.884,1.28147,0.79188,1.25361,0.90619,0.88636,0.92293,0.5631,1.3668,0.82202,1.40413,0.004753,0.004753,0.004753
55,242.122,1.33399,0.8234,1.2881,0.96978,0.84091,0.91104,0.55963,1.3229,0.78089,1.37777,0.004654,0.004654,0.004654
56,246.467,1.2644,0.80078,1.25307,0.9539,0.94072,0.97502,0.58927,1.33171,0.74451,1.35933,0.004555,0.004555,0.004555
57,250.74,1.29194,0.80788,1.28764,0.93694,0.90909,0.95762,0.55207,1.31003,0.79969,1.3571,0.004456,0.004456,0.004456
58,255.089,1.25823,0.78924,1.25133,1,0.81194,0.94507,0.59739,1.31312,0.79663,1.36976,0.004357,0.004357,0.004357
59,259.388,1.29947,0.80971,1.26266,0.95008,0.88636,0.95107,0.58546,1.27007,0.84999,1.33901,0.004258,0.004258,0.004258
60,263.681,1.24658,0.76993,1.2242,0.94402,0.86364,0.95657,0.58587,1.2733,0.71819,1.37595,0.004159,0.004159,0.004159
61,267.917,1.23182,0.76254,1.2365,0.97545,0.90322,0.94237,0.58766,1.25262,0.67941,1.32901,0.00406,0.00406,0.00406
62,272.116,1.22613,0.76047,1.21785,0.95094,0.8812,0.92528,0.58048,1.26841,0.7447,1.39209,0.003961,0.003961,0.003961
63,276.41,1.2653,0.76466,1.2603,0.86571,0.93182,0.91769,0.57958,1.33212,0.70942,1.38998,0.003862,0.003862,0.003862
64,280.772,1.24344,0.73908,1.24335,0.96016,0.88636,0.94725,0.59194,1.34345,0.73478,1.39148,0.003763,0.003763,0.003763
65,285.01,1.25317,0.7482,1.23283,0.90466,0.86261,0.89386,0.56105,1.36852,0.72314,1.37781,0.003664,0.003664,0.003664
66,289.25,1.29655,0.78878,1.26686,0.9264,0.85826,0.9002,0.52003,1.42039,0.73975,1.46453,0.003565,0.003565,0.003565
