epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.7691,1.83551,2.49652,1.64187,0.03335,0.09247,0.01237,0.00319,3.07789,26.6886,5.44654,0.00330303,0.00330303,0.0702727
2,78.1685,1.88162,2.21717,1.70741,0.15024,0.17221,0.11201,0.03906,2.03669,7.83175,2.01205,0.00657066,0.00657066,0.040207
3,113.947,1.78611,2.05813,1.62475,0.51339,0.13669,0.10495,0.03996,2.23831,3.20943,2.20129,0.0097723,0.0097723,0.0100753
4,149.905,1.74413,1.96664,1.60226,0.1493,0.5502,0.23026,0.09474,1.88932,2.78155,1.79858,0.009703,0.009703,0.009703
5,185.836,1.7152,1.9024,1.59513,0.28816,0.44166,0.24596,0.10589,2.16649,2.072,2.08795,0.009604,0.009604,0.009604
6,221.517,1.67038,1.84713,1.54556,0.25925,0.55713,0.2932,0.14125,1.77038,1.68344,1.63951,0.009505,0.009505,0.009505
7,257.264,1.63756,1.76365,1.51249,0.22352,0.52692,0.32232,0.16351,1.62466,1.62616,1.50879,0.009406,0.009406,0.009406
8,293.013,1.59578,1.71671,1.48094,0.2787,0.59056,0.36021,0.18436,1.57298,1.52795,1.49525,0.009307,0.009307,0.009307
9,328.67,1.57203,1.65677,1.46064,0.32768,0.62373,0.39463,0.20277,1.54426,1.43353,1.45452,0.009208,0.009208,0.009208
10,364.251,1.56283,1.65179,1.45609,0.63715,0.41724,0.3527,0.17576,1.59325,1.67307,1.48909,0.009109,0.009109,0.009109
11,400.073,1.51891,1.59492,1.42708,0.34339,0.50908,0.42821,0.19802,1.63691,1.43016,1.52765,0.00901,0.00901,0.00901
12,435.754,1.52352,1.55561,1.42448,0.38196,0.55445,0.44783,0.23121,1.57244,1.36094,1.44475,0.008911,0.008911,0.008911
13,471.301,1.5235,1.51988,1.44057,0.35455,0.60219,0.48705,0.24413,1.5728,1.33012,1.50462,0.008812,0.008812,0.008812
14,506.932,1.49259,1.49605,1.41842,0.42413,0.61567,0.51216,0.26496,1.48384,1.26499,1.45615,0.008713,0.008713,0.008713
15,542.51,1.48713,1.46627,1.42146,0.44333,0.63359,0.55502,0.3006,1.51036,1.21712,1.41877,0.008614,0.008614,0.008614
16,578.153,1.4587,1.40502,1.40736,0.41312,0.69246,0.56186,0.30595,1.4995,1.1671,1.42071,0.008515,0.008515,0.008515
17,613.857,1.47443,1.41409,1.40548,0.75547,0.50186,0.53756,0.29134,1.47931,1.18463,1.41159,0.008416,0.008416,0.008416
18,649.493,1.44711,1.38554,1.40873,0.43174,0.69118,0.58302,0.32129,1.47704,1.16514,1.46702,0.008317,0.008317,0.008317
19,685.166,1.45167,1.34575,1.40114,0.44114,0.69465,0.56948,0.3,1.50576,1.15264,1.44694,0.008218,0.008218,0.008218
20,720.793,1.40953,1.3004,1.37315,0.5431,0.67251,0.61069,0.33396,1.44514,1.06797,1.37111,0.008119,0.008119,0.008119
21,756.5,1.39569,1.27641,1.35339,0.67782,0.54156,0.58824,0.31865,1.44521,1.15892,1.42541,0.00802,0.00802,0.00802
22,792.188,1.39267,1.25281,1.3643,0.54367,0.67902,0.63387,0.35762,1.46369,1.04148,1.3569,0.007921,0.007921,0.007921
23,827.839,1.38928,1.21626,1.35179,0.6112,0.65131,0.66967,0.37901,1.44817,1.00152,1.38664,0.007822,0.007822,0.007822
24,863.431,1.40109,1.19461,1.35858,0.70044,0.62904,0.67594,0.40352,1.37087,0.93656,1.33565,0.007723,0.007723,0.007723
25,899.172,1.37614,1.16877,1.34164,0.64133,0.71199,0.70813,0.40078,1.48451,0.98441,1.37169,0.007624,0.007624,0.007624
26,934.845,1.37473,1.16488,1.34512,0.77436,0.64899,0.7139,0.42047,1.39883,0.92794,1.33945,0.007525,0.007525,0.007525
27,970.77,1.36751,1.15756,1.33439,0.7888,0.64487,0.74093,0.44394,1.38563,0.89998,1.35796,0.007426,0.007426,0.007426
28,1006.73,1.36014,1.1434,1.33031,0.68161,0.72243,0.73644,0.44479,1.38787,0.8948,1.35112,0.007327,0.007327,0.007327
29,1042.63,1.34483,1.10561,1.32558,0.77775,0.77796,0.78415,0.48265,1.38064,0.88344,1.35567,0.007228,0.007228,0.007228
30,1078.48,1.33199,1.05698,1.3181,0.80385,0.77718,0.84485,0.54036,1.35877,0.79582,1.33036,0.007129,0.007129,0.007129
31,1114.26,1.31043,1.02995,1.29818,0.80296,0.76592,0.80738,0.48481,1.39801,0.87187,1.33332,0.00703,0.00703,0.00703
32,1150.03,1.32411,1.03042,1.30706,0.89885,0.79842,0.85443,0.52538,1.37681,0.75303,1.30575,0.006931,0.006931,0.006931
