epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.55733,1.68749,3.29118,1.257,0.00463,0.92593,0.0159,0.00755,1.75969,3.42624,1.42632,0.0009,0.0009,0.0919
2,8.19783,1.45909,1.35979,1.32346,0.05188,0.87037,0.60647,0.28808,1.69359,3.37434,1.95667,0.00188119,0.00188119,0.0828812
3,11.85,1.48595,1.04635,1.32563,0.03151,0.09259,0.02295,0.00904,2.13046,3.84592,2.1317,0.00284258,0.00284258,0.0738426
4,15.495,1.4245,0.93053,1.31384,0.00028,0.05556,0.00015,2e-05,2.99108,inf,3.3907,0.00378417,0.00378417,0.0647842
5,19.1179,1.40418,0.90037,1.29585,0.00114,0.22222,0.00069,0.00024,3.44074,inf,5.82326,0.00470596,0.00470596,0.055706
6,22.5856,1.42641,0.8836,1.30325,0.51629,0.5,0.46769,0.23993,1.81704,4.88659,1.9615,0.00560795,0.00560795,0.046608
7,26.1038,1.37878,0.86513,1.29611,0.00101,0.18519,0.00059,0.0003,3.54577,inf,15.7102,0.00649014,0.00649014,0.0374901
8,29.6253,1.34124,0.779,1.27271,0.37274,0.48148,0.41498,0.23641,1.68716,3.40106,1.61057,0.00735253,0.00735253,0.0283525
9,33.1653,1.36274,0.81849,1.2751,0.0035,0.01852,0.00208,0.00052,3.6491,24.9988,6.58271,0.00819512,0.00819512,0.0191951
10,36.6688,1.35537,0.81758,1.30246,0.00112,0.22222,0.00093,0.00039,2.83682,inf,6.94102,0.00901791,0.00901791,0.0100179
11,40.1442,1.36573,0.77037,1.2837,0.00474,0.05556,0.00399,0.00206,2.18126,114.032,2.49682,0.00901,0.00901,0.00901
12,43.6775,1.29049,0.78427,1.24589,0.21811,0.09259,0.09805,0.04771,2.75491,20.7568,2.63975,0.008911,0.008911,0.008911
13,47.1966,1.36097,0.7772,1.2981,0.00028,0.05556,0.00015,3e-05,3.59223,inf,4.39487,0.008812,0.008812,0.008812
14,50.6598,1.30066,0.71977,1.27338,0.00595,0.51852,0.00475,0.00164,2.59298,151.087,2.85045,0.008713,0.008713,0.008713
15,54.1441,1.30519,0.71682,1.25866,0.73622,0.72222,0.79124,0.41629,1.50436,2.7252,1.49842,0.008614,0.008614,0.008614
16,57.6727,1.28776,0.72156,1.24175,0.96324,0.94444,0.97497,0.54973,1.36827,1.12372,1.4376,0.008515,0.008515,0.008515
17,61.1582,1.28686,0.71703,1.26345,0.89469,0.94395,0.97292,0.56238,1.39457,1.3211,1.44385,0.008416,0.008416,0.008416
18,64.7053,1.29794,0.69225,1.2383,0.80182,0.85185,0.92726,0.60142,1.30761,1.79348,1.34783,0.008317,0.008317,0.008317
19,68.2039,1.25603,0.67224,1.24831,0.85286,0.87037,0.94561,0.59227,1.30839,1.35827,1.39427,0.008218,0.008218,0.008218
20,71.648,1.27583,0.67096,1.25029,0.87915,0.88889,0.94858,0.57573,1.37726,2.51145,1.47057,0.008119,0.008119,0.008119
21,75.1133,1.29851,0.65959,1.26643,0.91,0.92593,0.97079,0.62254,1.2793,0.88463,1.36519,0.00802,0.00802,0.00802
22,78.5973,1.2544,0.68475,1.24628,0.93534,0.92593,0.96088,0.50661,1.63519,0.89702,1.54643,0.007921,0.007921,0.007921
23,82.0907,1.22978,0.64291,1.22089,0.97835,0.94444,0.98998,0.64662,1.22993,0.79233,1.32859,0.007822,0.007822,0.007822
24,85.5543,1.2462,0.63988,1.22043,1,0.99117,0.995,0.63335,1.2403,0.79075,1.29773,0.007723,0.007723,0.007723
25,89.0068,1.2426,0.65054,1.23166,0.96319,0.9693,0.99223,0.58951,1.31122,0.92371,1.37076,0.007624,0.007624,0.007624
26,92.5031,1.19518,0.64835,1.24456,0.94505,0.92593,0.98039,0.61808,1.30618,1.04817,1.35532,0.007525,0.007525,0.007525
27,95.9759,1.25074,0.65611,1.25033,0.97327,0.92593,0.98381,0.6504,1.27676,1.31615,1.34373,0.007426,0.007426,0.007426
28,99.5092,1.22087,0.61907,1.24273,0.94251,0.91092,0.98627,0.60638,1.34134,0.81686,1.37522,0.007327,0.007327,0.007327
29,102.977,1.2516,0.64116,1.23701,0.99505,0.98148,0.99344,0.66303,1.28395,0.583,1.34343,0.007228,0.007228,0.007228
30,106.488,1.19215,0.61928,1.20735,0.99664,0.98148,0.99482,0.67279,1.22273,0.53988,1.29814,0.007129,0.007129,0.007129
31,110.004,1.15816,0.60138,1.19613,0.97972,1,0.99336,0.66608,1.19049,0.68215,1.27226,0.00703,0.00703,0.00703
32,113.498,1.18548,0.61209,1.21175,1,0.96252,0.99294,0.64073,1.27282,1.0943,1.3062,0.006931,0.006931,0.006931
33,116.942,1.18541,0.59434,1.20536,0.89274,0.92483,0.9688,0.56779,1.38423,0.89636,1.44716,0.006832,0.006832,0.006832
34,120.47,1.17405,0.59578,1.21127,0.97395,0.96296,0.97855,0.62544,1.2976,0.65622,1.35362,0.006733,0.006733,0.006733
35,123.939,1.16125,0.59397,1.21239,0.97734,0.98148,0.99192,0.68432,1.20425,0.59954,1.28017,0.006634,0.006634,0.006634
36,127.418,1.17087,0.58534,1.1857,1,0.97318,0.99344,0.62618,1.36166,0.65053,1.37249,0.006535,0.006535,0.006535
37,130.88,1.21348,0.59469,1.23497,1,0.9775,0.98681,0.62106,1.31788,0.66398,1.36439,0.006436,0.006436,0.006436
38,134.329,1.22327,0.57366,1.22661,0.98038,0.96296,0.98334,0.59747,1.43441,0.62931,1.45856,0.006337,0.006337,0.006337
39,137.779,1.20237,0.58774,1.21305,0.98113,0.96284,0.98477,0.59712,1.30211,0.68227,1.33968,0.006238,0.006238,0.006238
40,141.217,1.17398,0.58655,1.17557,0.97267,0.96296,0.98904,0.66552,1.20389,0.61268,1.29159,0.006139,0.006139,0.006139
41,144.677,1.19355,0.60157,1.18666,0.92379,0.96296,0.98227,0.65268,1.22472,0.64503,1.29676,0.00604,0.00604,0.00604
42,148.158,1.19087,0.58087,1.21062,0.99627,0.98148,0.99482,0.68255,1.16701,0.52533,1.2669,0.005941,0.005941,0.005941
43,151.633,1.17019,0.56177,1.18217,0.99319,0.98148,0.99464,0.67817,1.16467,0.52007,1.27215,0.005842,0.005842,0.005842
44,155.107,1.15608,0.57082,1.18503,0.95305,0.98148,0.9941,0.68192,1.2224,0.56487,1.29283,0.005743,0.005743,0.005743
45,158.565,1.12899,0.54749,1.15962,0.98609,0.96296,0.99378,0.66362,1.25167,0.61284,1.28997,0.005644,0.005644,0.005644
46,162.039,1.12676,0.54948,1.16789,1,0.93732,0.99255,0.61069,1.28256,0.6677,1.31192,0.005545,0.005545,0.005545
47,165.479,1.10784,0.53007,1.16444,0.98175,0.99628,0.99409,0.6305,1.27821,0.52755,1.30629,0.005446,0.005446,0.005446
48,168.997,1.14726,0.54912,1.18779,0.99533,0.98148,0.99482,0.65643,1.27217,0.58115,1.31061,0.005347,0.005347,0.005347
49,172.476,1.12699,0.55681,1.18196,0.99993,1,0.995,0.67362,1.22877,0.51703,1.27954,0.005248,0.005248,0.005248
50,175.948,1.12605,0.53803,1.14952,0.97839,0.98148,0.99183,0.61316,1.39224,0.55138,1.35753,0.005149,0.005149,0.005149
51,179.416,1.14107,0.54089,1.15212,0.99094,1,0.995,0.68683,1.22867,0.51575,1.26043,0.00505,0.00505,0.00505
52,182.921,1.14244,0.54679,1.16871,0.99995,1,0.995,0.65045,1.17197,0.50342,1.25781,0.004951,0.004951,0.004951
